2022-06-20 19:45:32.410015 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:34.429246 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:34.431233 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:36.447530 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:36.450529 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:38.466483 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:38.480075 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:38.485086 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:40.487788 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:40.490786 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:42.509855 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:42.511852 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:44.538086 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:44.542087 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:46.556955 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:46.558930 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:46.560929 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:48.579904 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:48.582905 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:50.598450 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:50.644666 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:52.618201 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:52.621291 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:54.637831 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:54.640831 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:54.647057 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:56.670258 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:56.673248 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:58.689420 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:58.691413 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:00.720191 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:00.722190 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:02.738920 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:02.742888 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:02.745889 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:46:04.766202 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:04.768202 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:06.789915 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:06.795852 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:08.820283 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:08.823304 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:10.845777 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:29.816880 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:31.841876 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:31.844867 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:33.868213 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:33.868213 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:33.870239 Receiver : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:46:35.893120 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:35.898130 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:37.922831 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:37.923801 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:39.947754 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:39.950750 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:41.974665 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:41.974665 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:41.975654 Receiver : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:46:43.994035 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:43.997035 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:46.023753 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:46.023753 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:48.047013 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:48.049958 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:46:50.065926 Broker : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:46:50.066926 Receiver : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:46:50.067932 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:46:52.098478 Sender : file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
